number,title
473,Las Vegas Lady
474,Supercock
475,The Common Man
476,Convoy Buddies
477,The Four Deuces
478,Welfare
479,Släpp fångarne loss - det är vår!
480,Disciples of Shaolin
481,The Hired Gun
482,Zameer
483,C'est pas parce qu'on n'a rien à dire qu'il faut fermer sa gueule...
484,"Cry, Onion"
485,Normande
486,Bana Bes Avrat Yetmez
487,Giochi erotici di una famiglia per bene
488,The Great Adventure
489,Ilustrate cu flori de câmp
490,Amore mio spogliati... che poi ti spiego!
491,La joven casada
492,The Blazer Girls
493,Sanyasi
494,It Can't Be!
495,Challenge to Be Free
496,"Blood, Sweat and Fear"
497,Wet Lust: Opening the Tulip
498,A Haunted Turkish Bathhouse
499,Les filles du roy
500,Hildegard Knef and Her Songs
501,Diabolicamente... Letizia
502,Frankenstein: Italian Style
503,Amanush
504,Il gatto mammone
505,Zanna Bianca e il cacciatore solitario
506,Hotel Pacific
507,Bons baisers de Hong-Kong
508,Tubby the Tuba
509,The Seventh Company Has Been Found
510,Fritz Lang Interviewed by William Friedkin
511,Les gloutonnes
512,The Mysterious Monsters
513,The Wild McCullochs
514,Alice Cooper: Welcome to My Nightmare
515,Pandu Hawaldar
516,Northville Cemetery Massacre
517,Blood Bath
518,La lucha con la pantera
519,Women Seeking for Love
520,The Cage
521,Le grand délire
522,Force Four
523,The Immortal Bachelor
524,Le jouisseur
525,Muj brácha má prima bráchu
526,Confessions of a Lesbos Honey
527,Cold Blood
528,Adiós Amigo
529,Azgin Bakireler
530,Mean Johnny Barrows
531,Jai Santoshi Maa
532,Swami Ayyappan
533,Whiffs
534,Wintering in Jakobsfeld
535,Banaue: Stairway to the Sky
536,The Legend of Bigfoot
537,Anno Domini 1573
538,Prem Kahani
539,Requiem for a Village
540,"Forever Young, Forever Free"
541,The Messiah
542,Johnny Firecloud
543,...a tutte le auto della polizia...
544,"Amori, letti e tradimenti"
545,Black Power
546,Jitsuroku onna kanbetsusho: Sei-jigoku
547,Ereszd el a szakállamat!
548,Cellat
549,Fellow Traveler
550,Les chatouilleuses
551,Brother Can You Spare a Dime
552,Order to Assassinate
553,Idhayakkani
554,Dogpound Shuffle
555,The 18 Bronzemen
556,Snooker
557,Cops vs. Thugs
558,Il nano e la strega
559,Faraar
560,The Man Who Skied Down Everest
561,The Legend of Sea Wolf
562,Mark il poliziotto spara per primo
563,My Friend Frankenstein
564,Bagh Bondi Khela
565,Till Eulenspiegel
566,The Boss and the Worker
567,Tesekkür Ederim Büyükanne
568,Sidecar Racers
569,Thiruvarul
570,Somer
571,Crime and Passion
572,Champion of Death
573,Journey Into the Beyond
574,Prelude to Happiness
575,Paco
576,Swayamsiddha
577,"Jim, the World's Greatest"
578,In Celebration
579,Sins Without Intentions
580,Una vergine in famiglia
581,Duck in Orange Sauce
582,Un sac de billes
583,"Libera, My Love"
584,"Due cuori, una cappella"
585,Opération Lady Marlène
586,The Child of Another
587,Intimidade
588,The Black Dragon's Revenge
589,Kara Murat: Kara Sövalyeye Karsi
590,Istantanea per un delitto
591,Clara es el precio
592,Claro
593,Star Wars: Episode IV - A New Hope
594,Close Encounters of the Third Kind
595,Smokey and the Bandit
596,Saturday Night Fever
597,The Rescuers
598,A Bridge Too Far
599,The Deep
600,The Spy Who Loved Me
601,"Oh, God!"
602,Pete's Dragon
603,Annie Hall
604,Semi-Tough
605,Heroes
606,High Anxiety
607,Exorcist II: The Heretic
608,Herbie Goes to Monte Carlo
609,Slap Shot
610,The Gauntlet
611,The Turning Point
612,The Other Side of Midnight
613,Looking for Mr. Goodbar
614,Julia
615,The Bad News Bears in Breaking Training
616,For the Love of Benji
617,"New York, New York"
618,Black Sunday
619,Orca
620,Bobby Deerfield
621,Islands in the Stream
622,"Race for Your Life, Charlie Brown"
623,March or Die
624,Joseph Andrews
625,Citizens Band
626,Fraternity Row
627,House
628,A Grin Without A Cat
629,"The Devil, Probably"
630,Opening Night
631,"One Sings, the Other Doesn't"
632,Goliathon
633,Between the Lines
634,Short Eyes
635,The Last Wave
636,Eraserhead
637,Sorcerer
638,Rolling Thunder
639,Suspiria
640,The Domino Principle
641,Maladolescenza
642,Sexy Sisters
643,The Hills Have Eyes
644,Capricorn One
645,Bilitis
646,Wizards
647,Outlaw Blues
648,The Sentinel
649,The Car
650,Airport '77
651,The Duellists
652,The Kentucky Fried Movie
653,Rabid
654,The Many Adventures of Winnie the Pooh
655,Cross of Iron
656,Emanuelle and the Last Cannibals
657,3 Women
658,The Goodbye Girl
659,That Obscure Object of Desire
660,Jabberwocky
661,Cinderella
662,Sinbad and the Eye of the Tiger
663,Voodoo Passion
664,Death Game
665,Valentino
666,Emanuelle Around the World
667,Fantasm Comes Again
668,One on One
669,The American Friend
670,Pumping Iron
671,The Gestapo's Last Orgy
672,The People That Time Forgot
673,"Ilsa, the Wicked Warden"
674,Confessions from a Holiday Camp
675,Come Play with Me
676,The Ascent
677,Demon Seed
678,The Debut
679,Soldier of Orange
680,The Island of Dr. Moreau
681,Last Cannibal World
682,Damnation Alley
683,Martin
684,The Man Who Loved Women
685,Equus
686,Kingdom of the Spiders
687,A Special Day
688,Sister Emanuelle
689,The White Buffalo
690,Candleshoe
691,The Beast in Heat
692,Stroszek
693,Alucarda
694,Planet of Dinosaurs
695,Emanuelle in America
696,The Bishop's Bedroom
697,Sweet Adolescents
698,Marquis de Sade's Justine
699,Tentacles
700,Empire of the Ants
701,Chatterbox!
702,Madame Claude
703,Hitch-Hike
704,Cinderella 2000
705,Desperate Living
706,Rollercoaster
707,A Piece of the Action
708,The Psychic
709,The Choirboys
710,Bad
711,Adventures of a Private Eye
712,The Last Dinosaur
713,Fun with Dick and Jane
714,Love Camp
715,Telefon
716,Breaker! Breaker!
717,Nine Guests for a Crime
718,Casa privata per le SS
719,Shock
720,Shock Waves
721,Sextette
722,Anomalo fortio
723,Dracula's Dog
724,Grand Theft Auto
725,The Brothers Lionheart
726,Ilsa the Tigress of Siberia
727,Crazy Desires of a Murderer
728,Day of the Animals
729,Reel Savages
730,Hellish Flesh
731,In a Wild Moment
732,That Strange Desire to Love
733,The Serpent's Egg
734,I Never Promised You a Rose Garden
735,The Fruit Is Ripe
736,Satan's Cheerleaders
737,Nasty Diver
738,Twilight's Last Gleaming
739,Audrey Rose
740,A Little Night Music
741,First Love
742,Crossed Swords
743,Prey
744,The Happy Hooker Goes to Washington
745,Starship Invasions
746,The Van
747,The Chosen
748,Love Letters of a Portuguese Nun
749,ABBA: The Movie
750,The Haunting of Julia
751,No. 1 of the Secret Service
752,Hidden Pleasures
753,Cathy's Curse
754,Sweeney!
755,The Last Remake of Beau Geste
756,The Lacemaker
757,Greased Lightning
758,Rituals
759,Are You Being Served?
760,Emmanuelle 3
761,Some Like It Cool
762,Blue Sunshine
763,Where Time Began
764,Moonshine County Express
765,Alice or The Last Escapade
766,Scalpel
767,Crime Busters
768,Yeti: Giant of the 20th Century
769,Man of Marble
770,Peppermint Soda
771,Joyride
772,Too Hot to Handle
773,Beach House
774,"September 30, 1955"
775,Ham and Chips
776,Disco 9000
777,The Squeeze
778,The Uncanny
779,Black Deep Throat
780,Silver Bears
781,Golden Rendezvous
782,The Chess Players
783,Executioners from Shaolin
784,The Creature
785,The Girl with the Red Scarf
786,Final Chapter: Walking Tall
787,Sleeping Dogs
788,Dharam Veer
789,Oedipus orca
790,Iphigenia
791,"Saban, Son of Saban"
792,Sisters of Death
793,Death of a Corrupt Man
794,MacArthur
795,Fight for Your Life
796,Blood and Diamonds
797,The Brute
798,Beauties by Night
799,Madame Rosa
800,End of the World
801,Amar Akbar Anthony
802,Dot and the Kangaroo
803,Women's Camp 119
804,Blue Rita
805,The Invincible Armour
806,The Incredible Melting Man
807,Erotic Sex Games
808,Death Promise
809,Petey Wheatstraw
810,Yumeno Kyusaku's Girl Hell
811,Blue Passion
812,Angela
813,The Report
814,The World's Greatest Lover
815,Beast with a Gun
816,"The Virgo, the Taurus and the Capricorn"
817,Office Romance
818,The Black Panther
819,Beyond Good and Evil
820,The Forbidden Room
821,Porno Nights of the World
822,The Crater Lake Monster
823,Which Way Is Up?
824,The Disappearance
825,The Late Show
826,White Bim Black Ear
827,You Light Up My Life
828,Jailbait Babysitter
829,"Messalina, Messalina"
830,Rape Me: Sexual Assault in a Hotel Room
831,Death Bed: The Bed That Eats
832,Inquisition
833,Fairy in a Cage
834,Watch Me When I Kill
835,La compagna di banco
836,"The Cynic, the Rat and the Fist"
837,Supervan
838,Presídio de Mulheres Violentadas
839,The Farmer
840,The Joy of Flying
841,To Kill with Intrigue
842,The Greatest
843,Daana Veera Soora Karna
844,Viva Knievel!
845,Young Lady Chatterley
846,Armaguedon
847,A Tale of Sorrow and Sadness
848,L'homme pressé
849,Ruby
850,The King of the Street Cleaners
851,Can I Do It 'Till I Need Glasses?
852,Dogs
853,The Yellow Handkerchief
854,The Consequence
855,Fiona
856,Change of Sex
857,Viva Italia!
858,Achtung! The Desert Tigers
859,Animal
860,The War in Space
861,Hitch Hike to Hell
862,A Dog Called... Vengeance
863,The Child
864,Speedtrap
865,In the Realm of Sex
866,Operation Thunderbolt
867,Hum Kisise Kum Naheen
868,Tintorera: Killer Shark
869,War of the Planets
870,Tabu
871,Providence
872,Olsen-banden deruda'
873,Vow of Chastity
874,Slavers
875,The Great Smokey Roadblock
876,Axe
877,Padre Padrone
878,Billy Jack Goes to Washington
879,Hokuriku Proxy War
880,Vanessa
881,Del amor y de la muerte
882,California
883,Hra o jablko
884,Nurse Sherri
885,Hitler's Last Train
886,3 Sexy Girls in Tirol
887,Goodbye & Amen
888,The Guy from Harlem
889,Erotiki teleti
890,Let Me Die a Woman
891,The Cat
892,Uncle Tom's Cabin
893,Summer City
894,"Volver, volver, volver"
895,A Man Called Blade
896,The Pack
897,Eyes Behind the Wall
898,The Ransom
899,Yellow Emanuelle
900,Secret Honeymoon: Rape Train
901,Bare Knuckles
902,Stop Calling Me Baby!
903,Captive Women 4
904,Mr. Billion
905,Marche pas sur mes lacets
906,Gulliver's Travels
907,Golgo 13: Assignment Kowloon
908,The Amsterdam Kill
909,"Another Man, Another Chance"
910,What's Up Nurse!
911,Striptease
912,La soldatessa alla visita militare
913,Death Steps in the Dark
914,Game Show Models
915,The Billion Dollar Hobo
916,Broken Oath
917,Grayeagle
918,Special Education
919,The Black Widow
920,Hitler: A Career
921,"Pas på ryggen, professor!"
922,Gay USA
923,"Stand Up, Virgin Soldiers"
924,Abar
925,Summerfield
926,Street Warriors
927,An Average Little Man
928,This Is America
929,A Hero Ain't Nothin' But a Sandwich
930,L'ange et la femme
931,Soul Brothers of Kung Fu
932,Bad Georgia Road
933,Nazi Love Camp 27
934,Podranki
935,Wo shi yi pian yun
936,La muerte de un gallero
937,Welcome to Blood City
938,A Spiral of Mist
939,Cop Killers
940,Piger til søs
941,Dear Inspector
942,The Heroin Busters
943,Climax
944,Ieoh Island
945,Godzilla
946,Naughty Freshmen
947,Stunt Squad
948,Parvarish
949,Mimino
950,Hot Ice
951,Nasty Habits
952,Pathinaru Vayathinile
953,La Menace
954,The Perfect Killer
955,Erotic Campus: Rape Reception
956,Unfinished Piece for the Player Piano
957,Whiskey Mountain
958,Thunder and Lightning
959,Return to Boggy Creek
960,Brothers Till We Die
961,Space Battleship Yamato
962,Gaudi in der Lederhose
963,Female Teacher
964,Tomorrow I'll Wake Up and Scald Myself with Tea
965,Doberman Cop
966,The Cycle
967,Shakir the Clumsy
968,The Purple Taxi
969,Fraude matrimonial
970,Black Journal
971,Twilight of Love
972,A csillagszemü
973,Spoiled Children
974,Day of Violence
975,Acto de posesión
976,La llamada del sexo
977,Bruce Lee's Deadly Kung Fu
978,The Red Nights of the Gestapo
979,Bhumika
980,Ballad of Orin
981,Joyride to Nowhere
982,Perfumed Nightmare
983,Ha-Gan
984,Hira Aur Patthar
985,The Chaos Class Is on Vacation
986,Weapons of Death
987,Stunts
988,Backroads
989,Il prefetto di ferro
990,Taxi Girl
991,The Mouse and His Child
992,Legend of Dinosaurs and Monster Birds
993,Lucio Flavio
994,Scott Joplin
995,Khel Khel Mein
996,I Am Afraid
997,Omeng Satanasia
998,Curse of the God Dog
999,Chinatown Kid
1000,Double Nickels
1001,Alambrista!
1002,Keep My Grave Open
1003,Outsiders
1004,Puika
1005,Fist of Fury II
1006,My Daughter Hildegart
1007,Contrabando y traición
1008,The Rubber Gun
1009,The Shadow of Chikara
1010,Group Portrait with a Lady
1011,Deadly Hands of Kung Fu
1012,Charleston
1013,Smiling Eyes
1014,The Hunters
1015,SS Lager 5: L'inferno delle donne
1016,Tell Her That I Love Her
1017,Ecco noi per esempio...
1018,Cherry Hill High
1019,The Chicken Chronicles
1020,Cara dolce nipote
1021,Beauty and the Beast
1022,The Truck
1023,Escola Penal de Meninas Violentadas
1024,Double Murder
1025,Long Live Ghosts!
1026,The Private Files of J. Edgar Hoover
1027,La casta divina
1028,Qiao tan nu jiao wa
1029,Proof of the Man
1030,Le Crabe-Tambour
1031,Double Game
1032,Camouflage
1033,Roseland
1034,Pedro Paramo
1035,Adavi Ramudu
1036,Double Exposure
1037,Record City
1038,Las cenizas del diputado
1039,Le gang
1040,"Elisa, My Life"
1041,Basta de mujeres
1042,Kara Murat: Seyh Gaffar'a Karsi
1043,Kosmetikkrevolusjonen
1044,Inkaar
1045,Wifemistress
1046,Des Teufels Advokat
1047,"Man, Woman and Beast"
1048,The Getting of Wisdom
1049,Beloved Love
1050,Inyakanyaka
1051,Dream Girl
1052,Brothers
1053,Outrageous!
1054,Es pecado... pero me gusta
1055,Terror of Frankenstein
1056,Mrigayaa
1057,Disposta a tutto
1058,Woo fook
1059,Shirdi Ke Sai Baba
1060,The 7 Grandmasters
1061,Jack
1062,Doosara Aadmi
1063,Dynasty
1064,Tänzerinnen für Tanger
1065,Age of Innocence
1066,Swami
1067,10 Brothers of Shaolin
1068,Dulhan Wahi Jo Piya Man Bhaaye
1069,Day for My Love
1070,Rape! 13th Hour
1071,Kleinhoff Hotel
1072,Il ginecologo della mutua
1073,Thieves
1074,Clark
1075,The Grateful Dead
1076,Lady Dracula
1077,Target of an Assassin
1078,Fatso Catastrophe
1079,La bourgeoise et le loubard
1080,Bloody Monkey Master
1081,Pas koji je voleo vozove
1082,Death Is My Trade
1083,The Black Pearl
1084,Haunted
1085,Cheering Section
1086,El transexual
1087,Last Chants for a Slow Dance
1088,Mattie the Goose-Boy
1089,Prime Time
1090,Hitler: A Film from Germany
1091,Maschio latino cercasi
1092,Iron Fisted Monk
1093,Highway Racer
1094,Claws
1095,The Bionic Boy
1096,Fire Sale
1097,L'amantide
1098,Chacha Bhatija
1099,The Princess and the Pea
1100,Mi primer pecado
1101,Dios los cría
1102,Boys
1103,A Dirty Story
1104,The Left-Handed Woman
1105,Wombling Free
1106,The Brave Archer
1107,Mr. Mean
1108,Hajka
1109,Liebesgrüße aus der Lederhose 3: Sexexpress aus Oberbayern
1110,The Picture of Dorian Gray
1111,Tipu Sultan
1112,How About a Plate of Spinach?
1113,Nuns That Bite
1114,Akuma no temari-uta
1115,High Rolling in a Hot Corvette
1116,The 36 Crazy Fists
1117,Sivri Akillilar
1118,Seibo Kannon daibosatsu
1119,Cracking Up
1120,La muerte ronda a Mónica
1121,Khoon Pasina
1122,Kochaj albo rzuc
1123,Grandma and the Eight Children
1124,Who Has Seen the Wind
1125,Alaap
1126,Rozygrysh
1127,Ananda Ashram
1128,Female Fever
1129,Nan quan bei tui zhan yan wang
1130,Boogievision
1131,Eclipse
1132,The Baron
1133,Moments in a Stolen Dream
1134,Death Duel
1135,Murder Story
1136,Skytten
1137,The Andalusian Widow
1138,Hooch
1139,Poco... Little Dog Lost
1140,The Day It Came to Earth
1141,Joy
1142,Haiwan
1143,"Baxter, Vera Baxter"
1144,Babruvahana
1145,Bir Tanem
1146,Kinara
1147,The Picture Show Man
1148,Istasyon
1149,Spartacus
1150,The Lincoln Conspiracy
1151,Golden Night
1152,Le juge Fayard dit Le Shériff
1153,The Battle Wizard
1154,Cani
1155,The Worm Eaters
1156,Why Shoot the Teacher?
1157,The Curious Case of the Campus Corpse
1158,Blue jeans
1159,Paradistorg
1160,A Sunday in Hell
1161,Dezenove Mulheres e Um Homem
1162,To an Unknown God
1163,Nightmare in Blood
1164,American Tickler
1165,Burlesk Queen
1166,The Seventh Company Outdoors
1167,Jade Tiger
1168,Baseynat
1169,Pigs Have Wings
1170,Dao jian ba wang quan
1171,Anurodh
1172,The Mango Tree
1173,The Sentimental Swordsman
1174,Foes
1175,Word Is Out
1176,Ram Ram Gangaram
1177,"Gde ty, Bagira?"
1178,91:an och generalernas fnatt
1179,The Road to Kathmandu
1180,Des journées entières dans les arbres
1181,Black Oak Conspiracy
1182,Erotic Diary of an Office Lady
1183,"Hang on, Doggy!"
1184,"Pardon Mon Affaire, Too!"
1185,The Glitterball
1186,Tutti defunti... tranne i morti
1187,Wu jiao wa
1188,Who's Afraid of Virginia Woolf?
1189,"The Good, the Bad and the Ugly"
1190,The Battle of Algiers
1191,Masculine Feminine
1192,Andrei Rublev
